waiting for 1 second sample...
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   774    390 200M 527M  36G  20G   1G   1G    896      7   9124    290 
   1   0  1113    595 199M 527M  36G  20G   1G   1G    896      7   1472    368 
   0   0  1022    658 198M 527M  36G  20G   1G   1G    128      1   1344    335 
   0   0   860    647 229M 527M  36G  20G   1G   1G   5332     42   1124    271 
   1   0  1073   1210 215M 527M  36G  20G   1G   1G  13612    134   8296    198 
   2   0  1141   1889 202M 527M  36G  20G   1G   1G  49688    391      4      1 
   5   1  1251   1523 228M 527M  36G  20G   1G   1G  26252    216  12348    159 
   0   0   603    531 226M 527M  36G  20G   1G   1G   1152      9  15652    230 
   0   0   717    570 225M 527M  36G  20G   1G   1G   1792     14  14432    220 
   0   0   718    417 224M 527M  36G  20G   1G   1G    768      6  13400    255 
   0   0   886    438 224M 527M  36G  20G   1G   1G   1060     16   9024    322 
   0   0   997    477 223M 527M  36G  20G   1G   1G    128      1   3476    371 
   0   0   778    564 222M 527M  36G  20G   1G   1G   1128     15  11584    234 
   0   0   725    560 221M 527M  36G  20G   1G   1G   1920     16   9312    224 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   781    524 219M 528M  36G  20G   1G   1G   1280     10   8204    243 
   1   0  1138   2026 228M 528M  36G  20G   1G   1G  27416    223   6200     17 
   0   0  1462   2427 203M 528M  36G  20G   1G   1G  25420    227    800    199 
   0   0  1195   1205 203M 528M  36G  20G   1G   1G      0      0   1248    311 
   0   0  1233   1705 228M 528M  36G  20G   1G   1G  11636    110    700    175 
   1   0  1503   2564 224M 528M  36G  20G   1G   1G  37768    329      4      1 
   7   1  2005   1884 218M 528M  36G  20G   1G   1G   5372     43  14056    236 
   0   0  1363   1113 216M 528M  36G  20G   1G   1G   1536     12  18284    292 
   0   0   981    658 215M 528M  36G  20G   1G   1G   2172     18  11060    312 
   0   0   738    507 213M 528M  36G  20G   1G   1G   1536     12  11616    226 
   0   0   775    495 212M 528M  36G  20G   1G   1G   1536     12  13696    259 
   0   0   765   1270 196M 528M  36G  20G   1G   1G  17036    143  12688     85 
   1   0   754   1506 211M 528M  36G  20G   1G   1G  20612    181    608    105 
   3   0  1098   1320 217M 528M  36G  20G   1G   1G  10984     99   7824    186 
   0   0   702    512 215M 528M  36G  20G   1G   1G   1536     12   9408    212 
   0   0   810    556 214M 528M  36G  20G   1G   1G   1664     13  12032    259 
   0   0  1298   1629 200M 528M  36G  20G   1G   1G  13312    104  12260    120 
   1   0  1666   3126 204M 528M  36G  20G   1G   1G  34368    293      4      1 
   0   0  1433   1950 227M 528M  36G  20G   1G   1G   9600     75   1032    249 
   0   0  1572   1372 227M 528M  36G  20G   1G   1G      0      0   1288    321 
   2   0  1724   1813 218M 528M  36G  20G   1G   1G   4828     47   1004    251 
   2   0  1074    818 204M 528M  36G  20G   1G   1G   1248     10  13248    264 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   881    589 201M 528M  36G  20G   1G   1G   1920     15  13680    277 
   0   0   859    626 198M 528M  36G  20G   1G   1G   1536     12  11068    251 
   0   0   829    618 197M 528M  36G  20G   1G   1G   1664     13   8420    250 
   0   0   720    367 196M 528M  36G  20G   1G   1G    768      6   8740    264 
   0   0   750    920 222M 528M  36G  20G   1G   1G   9088     71  14372    182 
   0   0   573    379 221M 528M  36G  20G   1G   1G     12      2   1196    299 
   0   0   931    834 214M 528M  36G  20G   1G   1G   3096     39   7252    223 
   0   0   799    394 213M 528M  36G  20G   1G   1G    256      2   9440    289 
   0   0   830    505 212M 528M  36G  20G   1G   1G   1320     11   9916    286 
   0   0   707    819 202M 528M  36G  20G   1G   1G  11608     92  12420    158 
   0   0   792   1623 208M 528M  36G  20G   1G   1G  29664    235      4      1 
   0   0   861    773 200M 528M  36G  20G   1G   1G   7400     72    996    249 
   0   0   816    658 228M 528M  36G  20G   1G   1G   7784     59   1052    261 
   3   0   998    957 203M 528M  36G  20G   1G   1G   7032     57   7172    211 
   0   0   746    980 228M 528M  36G  20G   1G   1G  10860     86   7828    143 
   1   0   754   1714 201M 528M  36G  20G   1G   1G  28296    233   1936     14 
   0   0   816    694 226M 528M  36G  20G   1G   1G   8540     82   1464    362 
   0   0  1103   1074 226M 528M  36G  20G   1G   1G    360      2   1356    338 
   3   1  1360   2082 227M 528M  36G  20G   1G   1G  31888    294   1168     72 
   0   0   880   1090 210M 528M  36G  20G   1G   1G  14720    115   5440    163 
   3   0   989   1657 210M 528M  36G  20G   1G   1G  23496    195   4764     43 
   1   0   904    650 203M 528M  36G  20G   1G   1G   1536     12   8608    259 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   845    587 201M 528M  36G  20G   1G   1G   1664     13   8484    255 
   0   0   823    481 199M 528M  36G  20G   1G   1G   1152      9   9824    288 
   0   0   890    566 198M 528M  36G  20G   1G   1G   1408     11   5916    288 
   2   0   848   1543 211M 528M  36G  20G   1G   1G  23168    185   8556     42 
   1   0   907   2326 214M 528M  36G  20G   1G   1G  37240    314     96     24 
   3   0  1050   1184 220M 528M  36G  20G   1G   1G   9512     89   5216    201 
   0   0   818    536 218M 528M  36G  20G   1G   1G    792     10   8064    249 
   0   0   858   1090 206M 528M  36G  20G   1G   1G  14464    116  11664    184 
   3   0  1025   1955 204M 528M  36G  20G   1G   1G  26496    213   2416     77 
   0   0   931    674 202M 528M  36G  20G   1G   1G   1536     12   9868    299 
   0   0   808    665 200M 528M  36G  20G   1G   1G   1664     13   8656    230 
   0   0   794    585 198M 528M  36G  20G   1G   1G   1280     10   8056    242 
   0   0   733    663 227M 528M  36G  20G   1G   1G   5632     44  13772    202 
   1   0   891   1901 200M 528M  36G  20G   1G   1G  28244    255     64      2 
   0   0   666   1221 210M 528M  36G  20G   1G   1G  24704    196    396     98 
   0   0   568    322 209M 528M  36G  20G   1G   1G     16      2   1472    365 
   0   0   860    311 209M 528M  36G  20G   1G   1G    512      4   1480    369 
   0   0  1254    923 205M 528M  36G  20G   1G   1G   4976     38   1252    310 
   5   1  1736   1952 196M 528M  36G  20G   1G   1G  17468    150   4104    129 
   0   0  1249   1188 227M 528M  36G  20G   1G   1G   1664     13   7648    234 
   0   0   878    659 225M 528M  36G  20G   1G   1G   2048     16   8768    271 
   0   0   866    598 223M 528M  36G  20G   1G   1G   1792     14   8948    278 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   875    502 221M 528M  36G  20G   1G   1G   1792     14  10528    314 
   0   0   928    655 220M 528M  36G  20G   1G   1G   2176     17   9308    294 
   0   0   738    464 219M 528M  36G  20G   1G   1G    144      7  12448    329 
   0   0   575    420 219M 528M  36G  20G   1G   1G    496      7   1308    326 
   0   0   853    508 217M 528M  36G  20G   1G   1G   2424     26   1156    289 
   2   0   897   1471 227M 528M  36G  20G   1G   1G  22160    184   2196     70 
   0   0   793    565 225M 528M  36G  20G   1G   1G   1408     12   8160    249 
   1   0   950   1828 200M 528M  36G  20G   1G   1G  27284    227   1448     42 
   4   1  1616   2028 224M 528M  36G  20G   1G   1G  54532    449   6640     95 
   0   0   708    660 222M 528M  36G  20G   1G   1G   1100     14   8352    249 
   0   0   892    840 220M 528M  36G  20G   1G   1G   2608     30   7940    230 
   0   0   788    528 218M 528M  36G  20G   1G   1G   1664     13   8604    260 
   0   0   906    948 212M 528M  36G  20G   1G   1G   6660     58  10016    227 
   0   0   911    776 206M 528M  36G  20G   1G   1G   6112     70    948    237 
   0   0   884    381 206M 528M  36G  20G   1G   1G    256      2   1316    328 
   1   0   963    712 200M 528M  36G  20G   1G   1G   1688     17   7140    280 
   0   0   989    877 196M 528M  36G  20G   1G   1G   1352     19   8780    263 
   0   0   833   1289 213M 528M  36G  20G   1G   1G  18136    153   6904     96 
   0   0   982    396 212M 528M  36G  20G   1G   1G     24      1   1476    369 
   1   0   999    568 206M 528M  36G  20G   1G   1G   1584     16   1748    323 
   0   0   845    576 201M 528M  36G  20G   1G   1G   1088     16   8864    266 
   0   0  1077    851 200M 528M  36G  20G   1G   1G   1020     12   7352    397 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   911    476 199M 528M  36G  20G   1G   1G    816      8   8688    325 
   0   0  1002    782 199M 528M  36G  20G   1G   1G      0      0   1320    329 
   0   0  1605   1516 198M 528M  36G  20G   1G   1G    704      6   1256    314 
   0   0  1274   1253 223M 528M  36G  20G   1G   1G   6400     51   5424    247 
   0   0   838    562 220M 528M  36G  20G   1G   1G   1664     13   9536    272 
   0   0   891    808 216M 528M  36G  20G   1G   1G   2184     24  14664    245 
   0   0   825    652 215M 528M  36G  20G   1G   1G   1344     16   7964    229 
   0   0   844    543 213M 528M  36G  20G   1G   1G   1152     11   9700    273 
   0   0  1142   1128 211M 528M  36G  20G   1G   1G   2048     16   9824    288 
   0   0   925    748 210M 528M  36G  20G   1G   1G   1536     12   9088    268 
   0   0  1067   1528 201M 528M  36G  20G   1G   1G  10208     86  13124    194 
   0   0   652    356 200M 528M  36G  20G   1G   1G     16      2   1292    323 
   1   0  1088    876 197M 528M  36G  20G   1G   1G    768     10   2120    309 
   0   0  1058   1066 226M 528M  36G  20G   1G   1G   1440     17   9284    279 
   0   0   802    651 225M 528M  36G  20G   1G   1G   1264     15   8672    246 
   0   0   799    997 212M 528M  36G  20G   1G   1G  13888    117   9904    132 
   0   0   586    386 211M 528M  36G  20G   1G   1G    784      8   1384    324 
   0   0   813    373 211M 528M  36G  20G   1G   1G    240      1   1240    310 
   0   0   797    345 208M 528M  36G  20G   1G   1G    777     12   1280    318 
   3   0  1145    818 201M 528M  36G  20G   1G   1G    827     12   9328    307 
   0   0  1249    737 197M 528M  36G  20G   1G   1G   1720     19  12376    429 
   0   0   977    747 227M 528M  36G  20G   1G   1G   1324     16   9472    295 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0   986    729 227M 528M  36G  20G   1G   1G   1232     13   8964    276 
   0   0  1040    618 225M 528M  36G  20G   1G   1G   1096     14  10976    343 
   0   0   986    545 224M 528M  36G  20G   1G   1G    776     10  11024    346 
   0   0   938   1024 216M 528M  36G  20G   1G   1G   8248     78  17152    216 
   0   0   977    446 216M 528M  36G  20G   1G   1G    280      7   1444    359 
