Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1547774122.609049,463775,6,0
4,Delivery,1547774122.609069,464283,5,0
3,OrderStatus,1547774122.609077,3746,0,0
1,NewOrder,1547774122.609098,463726,8,0
1,NewOrder,1547774122.612847,459977,0,0
2,Payment,1547774122.784418,846706,2,0
1,NewOrder,1547774123.072866,893250,6,0
2,Payment,1547774123.072866,893070,8,0
1,NewOrder,1547774123.072867,893093,0,0
1,NewOrder,1547774123.072944,893059,9,0
2,Payment,1547774123.072999,892930,1,0
1,NewOrder,1547774123.073088,893029,3,0
1,NewOrder,1547774123.073274,892889,7,0
1,NewOrder,1547774123.073299,6548,4,0
2,Payment,1547774123.073372,892626,5,0
1,NewOrder,1547774123.079870,886299,4,0
2,Payment,1547774123.631160,584914,2,0
1,NewOrder,1547774123.965964,676158,8,0
2,Payment,1547774123.965964,676167,1,0
2,Payment,1547774123.965989,677024,0,0
2,Payment,1547774123.966015,676107,5,0
1,NewOrder,1547774123.966025,676110,9,0
1,NewOrder,1547774123.966147,675984,6,0
1,NewOrder,1547774123.966149,676778,3,0
1,NewOrder,1547774123.966185,676163,7,0
2,Payment,1547774123.966187,676722,4,0
1,NewOrder,1547774124.216110,842770,2,0
2,Payment,1547774124.642162,836268,5,0
1,NewOrder,1547774124.642165,836595,6,0
1,NewOrder,1547774124.642178,836252,8,0
2,Payment,1547774124.642183,836237,1,0
2,Payment,1547774124.642190,836333,9,0
1,NewOrder,1547774124.642365,836491,7,0
2,Payment,1547774124.642949,835546,3,0
2,Payment,1547774124.642959,836104,4,0
4,Delivery,1547774124.643037,835472,0,0
1,NewOrder,1547774125.058923,428006,2,0
1,NewOrder,1547774125.478454,43127,1,0
2,Payment,1547774125.478454,43273,5,0
2,Payment,1547774125.478454,43149,8,0
1,NewOrder,1547774125.478534,93253,0,0
2,Payment,1547774125.478540,43220,3,0
1,NewOrder,1547774125.478545,43363,9,0
2,Payment,1547774125.478778,42814,6,0
2,Payment,1547774125.478899,43219,7,0
3,OrderStatus,1547774125.479092,3681,4,0
2,Payment,1547774125.482797,39266,4,0
2,Payment,1547774125.486970,35061,2,0
1,NewOrder,1547774125.521602,59966,1,0
2,Payment,1547774125.521606,59866,6,0
3,OrderStatus,1547774125.521622,33319,8,0
1,NewOrder,1547774125.521759,59686,5,0
1,NewOrder,1547774125.521781,59954,3,0
2,Payment,1547774125.521930,59507,9,0
2,Payment,1547774125.522050,59495,2,0
1,NewOrder,1547774125.522090,59372,4,0
1,NewOrder,1547774125.522170,59340,7,0
1,NewOrder,1547774125.555017,26647,8,0
1,NewOrder,1547774125.571805,68182,0,0
2,Payment,1547774125.581474,384815,5,0
2,Payment,1547774125.581474,385033,9,0
2,Payment,1547774125.581496,385344,4,0
1,NewOrder,1547774125.581504,385525,6,0
1,NewOrder,1547774125.581530,385031,7,0
1,NewOrder,1547774125.581566,384830,2,0
1,NewOrder,1547774125.581591,384725,1,0
2,Payment,1547774125.581684,385137,8,0
2,Payment,1547774125.581764,384928,3,0
1,NewOrder,1547774125.640027,376282,0,0
1,NewOrder,1547774125.966330,267884,5,0
2,Payment,1547774125.966343,268175,1,0
2,Payment,1547774125.966422,267868,2,0
1,NewOrder,1547774125.966529,301828,9,0
1,NewOrder,1547774125.966597,267572,7,0
1,NewOrder,1547774125.966717,301550,3,0
3,OrderStatus,1547774125.966847,2922,8,0
2,Payment,1547774125.966861,267307,4,0
1,NewOrder,1547774125.967044,267344,6,0
1,NewOrder,1547774125.969799,264650,8,0
2,Payment,1547774126.016339,218681,0,0
1,NewOrder,1547774126.234210,43600,4,0
2,Payment,1547774126.234211,43344,7,0
2,Payment,1547774126.234234,43331,5,0
1,NewOrder,1547774126.234308,43257,2,0
1,NewOrder,1547774126.234411,43248,6,0
2,Payment,1547774126.234470,43696,8,0
2,Payment,1547774126.234547,43043,1,0
2,Payment,1547774126.235039,42940,0,0
2,Payment,1547774126.268289,50987,3,0
2,Payment,1547774126.268391,9411,9,0
2,Payment,1547774126.277569,51610,7,0
1,NewOrder,1547774126.277582,51758,5,0
2,Payment,1547774126.277582,42056,2,0
1,NewOrder,1547774126.277651,51539,1,0
5,StockLevel,1547774126.277689,23208,6,0
1,NewOrder,1547774126.277816,51458,9,0
4,Delivery,1547774126.277827,51489,4,0
2,Payment,1547774126.278008,51179,0,0
2,Payment,1547774126.278187,50983,8,0
2,Payment,1547774126.300934,28713,6,0
2,Payment,1547774126.319300,18584,3,0
1,NewOrder,1547774126.319661,27231,2,0
2,Payment,1547774126.329196,18252,8,0
2,Payment,1547774126.329217,17970,1,0
3,OrderStatus,1547774126.329217,3450,7,0
1,NewOrder,1547774126.329254,17639,0,0
2,Payment,1547774126.329297,17712,9,0
2,Payment,1547774126.329354,17540,4,0
2,Payment,1547774126.329665,17430,6,0
1,NewOrder,1547774126.331380,24353,5,0
1,NewOrder,1547774126.332689,22583,7,0
