Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1547807057.884765,1003943,3,0
1,NewOrder,1547807057.884845,1003716,6,0
1,NewOrder,1547807058.363210,1043318,2,0
2,Payment,1547807058.363236,1703327,1,0
3,OrderStatus,1547807058.363248,6016,8,0
2,Payment,1547807058.364369,1567610,0,0
1,NewOrder,1547807058.369462,1036888,8,0
1,NewOrder,1547807058.888593,1043386,6,0
1,NewOrder,1547807058.888745,1043302,3,0
2,Payment,1547807059.406392,660349,8,0
1,NewOrder,1547807059.406566,650654,2,0
1,NewOrder,1547807059.932003,134597,9,0
1,NewOrder,1547807059.932005,134712,6,0
2,Payment,1547807059.932005,328433,0,0
2,Payment,1547807059.932083,134658,3,0
1,NewOrder,1547807059.932113,134469,7,0
2,Payment,1547807059.932315,328149,4,0
1,NewOrder,1547807060.057276,26097,2,0
1,NewOrder,1547807060.066586,193780,5,0
2,Payment,1547807060.066589,345685,1,0
1,NewOrder,1547807060.066626,194342,7,0
1,NewOrder,1547807060.066628,193772,9,0
2,Payment,1547807060.066747,194169,6,0
1,NewOrder,1547807060.066775,194790,3,0
1,NewOrder,1547807060.066775,193596,8,0
1,NewOrder,1547807060.083419,328854,2,0
1,NewOrder,1547807060.260416,778745,5,0
1,NewOrder,1547807060.260416,778713,8,0
2,Payment,1547807060.260448,151911,9,0
2,Payment,1547807060.260459,998419,0,0
2,Payment,1547807060.260485,151786,4,0
1,NewOrder,1547807060.260951,151771,6,0
1,NewOrder,1547807060.260991,777996,7,0
4,Delivery,1547807060.261587,997427,3,0
2,Payment,1547807060.412315,846641,4,0
1,NewOrder,1547807060.412322,846557,2,0
4,Delivery,1547807060.412322,846613,1,0
2,Payment,1547807060.412380,847758,9,0
1,NewOrder,1547807060.412753,846195,6,0
1,NewOrder,1547807061.039027,653718,7,0
2,Payment,1547807061.039150,940923,8,0
1,NewOrder,1547807061.039183,653561,5,0
1,NewOrder,1547807061.258919,721050,0,0
1,NewOrder,1547807061.258919,721270,2,0
2,Payment,1547807061.258953,720872,1,0
1,NewOrder,1547807061.258973,720852,6,0
1,NewOrder,1547807061.258997,722367,4,0
1,NewOrder,1547807061.259036,720894,3,0
4,Delivery,1547807061.260159,721590,9,0
1,NewOrder,1547807061.692785,479485,7,0
1,NewOrder,1547807061.692786,479456,5,0
1,NewOrder,1547807061.979853,211777,1,0
2,Payment,1547807061.979853,211796,6,0
1,NewOrder,1547807061.979966,211932,3,0
1,NewOrder,1547807061.979986,212019,0,0
3,OrderStatus,1547807061.980091,2397,8,0
2,Payment,1547807061.980206,211644,2,0
4,Delivery,1547807061.981386,210279,4,0
2,Payment,1547807061.981769,210374,9,0
2,Payment,1547807061.982502,326684,8,0
1,NewOrder,1547807062.172316,119548,5,0
2,Payment,1547807062.172317,136988,7,0
1,NewOrder,1547807062.191669,117487,1,0
2,Payment,1547807062.191679,176168,6,0
2,Payment,1547807062.191714,117568,4,0
1,NewOrder,1547807062.191880,117286,2,0
2,Payment,1547807062.191929,117226,3,0
5,StockLevel,1547807062.192034,5524,0,0
1,NewOrder,1547807062.192168,117058,9,0
2,Payment,1547807062.197581,111722,0,0
2,Payment,1547807062.291887,352580,5,0
1,NewOrder,1547807062.309176,335256,1,0
1,NewOrder,1547807062.309176,335721,3,0
2,Payment,1547807062.309196,335299,2,0
1,NewOrder,1547807062.309206,335226,8,0
1,NewOrder,1547807062.309260,335235,9,0
1,NewOrder,1547807062.309303,335192,4,0
1,NewOrder,1547807062.309326,335520,0,0
2,Payment,1547807062.309326,572241,7,0
2,Payment,1547807062.367884,1115048,6,0
4,Delivery,1547807062.644466,238610,1,0
4,Delivery,1547807062.644466,237165,8,0
1,NewOrder,1547807062.644481,237086,5,0
4,Delivery,1547807062.644539,238276,4,0
2,Payment,1547807062.644539,237028,2,0
2,Payment,1547807062.644539,237028,9,0
2,Payment,1547807062.644865,236738,0,0
1,NewOrder,1547807062.644955,237607,3,0
1,NewOrder,1547807062.881604,601001,7,0
1,NewOrder,1547807062.881604,600942,9,0
1,NewOrder,1547807062.881605,601481,2,0
5,StockLevel,1547807062.881605,8253,5,0
2,Payment,1547807062.881622,233537,0,0
3,OrderStatus,1547807062.882420,4980,8,0
1,NewOrder,1547807062.882639,600141,3,0
2,Payment,1547807062.882859,599725,4,0
2,Payment,1547807062.883112,833396,1,0
5,StockLevel,1547807062.887446,6770,8,0
2,Payment,1547807062.889894,1353745,5,0
2,Payment,1547807062.894249,588304,8,0
1,NewOrder,1547807063.115205,601221,0,0
1,NewOrder,1547807063.482578,759533,9,0
2,Payment,1547807063.482580,759558,8,0
2,Payment,1547807063.482623,1136887,4,0
1,NewOrder,1547807063.482625,761253,7,0
2,Payment,1547807063.482801,759384,3,0
1,NewOrder,1547807063.482945,759165,6,0
5,StockLevel,1547807063.483119,9762,2,0
2,Payment,1547807063.492923,1126509,2,0
2,Payment,1547807063.716466,584061,0,0
2,Payment,1547807063.716531,1294741,1,0
4,Delivery,1547807064.242145,377797,6,0
1,NewOrder,1547807064.242151,377723,9,0
3,OrderStatus,1547807064.242153,2406,8,0
5,StockLevel,1547807064.242205,5725,3,0
2,Payment,1547807064.243659,1026734,5,0
2,Payment,1547807064.243909,375550,7,0
2,Payment,1547807064.244573,374985,8,0
3,OrderStatus,1547807064.247956,2099,3,0
1,NewOrder,1547807064.250072,369702,3,0
2,Payment,1547807064.300564,1078400,0,0
1,NewOrder,1547807064.619465,650854,2,0
2,Payment,1547807064.619475,650841,7,0
1,NewOrder,1547807064.619545,651457,4,0
2,Payment,1547807064.619578,650738,8,0
1,NewOrder,1547807064.619803,650678,3,0
1,NewOrder,1547807064.619893,650413,9,0
2,Payment,1547807064.619970,1292948,6,0
1,NewOrder,1547807065.011305,367621,1,0
2,Payment,1547807065.270357,642564,2,0
2,Payment,1547807065.270370,642555,8,0
1,NewOrder,1547807065.270384,642554,9,0
1,NewOrder,1547807065.270408,642992,5,0
2,Payment,1547807065.270492,1060901,7,0
2,Payment,1547807065.270496,1060564,3,0
2,Payment,1547807065.271027,642121,4,0
2,Payment,1547807065.378963,642506,1,0
1,NewOrder,1547807065.378986,642552,0,0
5,StockLevel,1547807065.912947,28195,6,0
5,StockLevel,1547807065.912948,3557,2,0
5,StockLevel,1547807065.912962,5064,9,0
1,NewOrder,1547807065.912969,418433,8,0
1,NewOrder,1547807065.913163,417897,4,0
5,StockLevel,1547807065.913417,26016,5,0
1,NewOrder,1547807065.916543,414517,2,0
2,Payment,1547807065.918041,413145,9,0
1,NewOrder,1547807065.939461,417210,5,0
1,NewOrder,1547807065.941158,415410,6,0
1,NewOrder,1547807066.021489,335126,1,0
2,Payment,1547807066.021558,337199,0,0
3,OrderStatus,1547807066.331095,2656,4,0
1,NewOrder,1547807066.331096,93543,3,0
3,OrderStatus,1547807066.331101,2741,2,0
2,Payment,1547807066.331210,93432,9,0
1,NewOrder,1547807066.331408,93153,7,0
1,NewOrder,1547807066.331422,93215,8,0
1,NewOrder,1547807066.333770,116611,4,0
1,NewOrder,1547807066.333856,90793,2,0
2,Payment,1547807066.356604,93625,6,0
2,Payment,1547807066.356633,93596,1,0
1,NewOrder,1547807066.356688,93623,5,0
1,NewOrder,1547807066.358825,91647,0,0
1,NewOrder,1547807066.424582,352822,7,0
1,NewOrder,1547807066.424657,352520,3,0
4,Delivery,1547807066.424659,352393,9,0
2,Payment,1547807066.424661,352561,8,0
2,Payment,1547807066.424665,352387,2,0
1,NewOrder,1547807066.450265,719518,6,0
1,NewOrder,1547807066.450265,719205,1,0
1,NewOrder,1547807066.450331,719313,5,0
2,Payment,1547807066.450394,719125,4,0
1,NewOrder,1547807066.450490,719185,0,0
2,Payment,1547807066.777096,1009750,2,0
2,Payment,1547807066.777132,1009576,9,0
1,NewOrder,1547807066.777194,1009514,3,0
1,NewOrder,1547807066.777252,1009492,8,0
1,NewOrder,1547807066.777423,1009285,7,0
2,Payment,1547807067.169559,926197,1,0
2,Payment,1547807067.169560,926047,4,0
1,NewOrder,1547807067.169659,926215,5,0
1,NewOrder,1547807067.169695,925956,0,0
1,NewOrder,1547807067.169796,925937,6,0
2,Payment,1547807067.786754,326055,3,0
2,Payment,1547807067.786754,326075,9,0
1,NewOrder,1547807067.786754,326029,7,0
1,NewOrder,1547807067.786756,326107,8,0
2,Payment,1547807067.786866,427150,2,0
3,OrderStatus,1547807068.095643,1962,4,0
1,NewOrder,1547807068.095668,93345,0,0
2,Payment,1547807068.095752,92920,6,0
2,Payment,1547807068.095769,93149,1,0
2,Payment,1547807068.095891,92896,5,0
1,NewOrder,1547807068.097620,91258,4,0
2,Payment,1547807068.112802,126310,7,0
2,Payment,1547807068.112828,151755,3,0
2,Payment,1547807068.112845,101074,9,0
1,NewOrder,1547807068.112876,100966,8,0
2,Payment,1547807068.188700,109231,6,0
2,Payment,1547807068.188805,109216,5,0
2,Payment,1547807068.188895,50290,4,0
2,Payment,1547807068.188936,50163,1,0
1,NewOrder,1547807068.189034,50086,0,0
2,Payment,1547807068.213862,50665,8,0
1,NewOrder,1547807068.213934,50596,9,0
2,Payment,1547807068.214046,94071,2,0
2,Payment,1547807068.239126,58830,1,0
3,OrderStatus,1547807068.239130,2577,7,0
1,NewOrder,1547807068.239135,58749,0,0
2,Payment,1547807068.239202,93955,4,0
2,Payment,1547807068.241724,91671,7,0
2,Payment,1547807068.264552,42485,9,0
1,NewOrder,1547807068.264558,42429,8,0
1,NewOrder,1547807068.264604,43425,3,0
1,NewOrder,1547807068.297911,86367,0,0
1,NewOrder,1547807068.297950,35168,6,0
1,NewOrder,1547807068.297979,86169,1,0
1,NewOrder,1547807068.298046,35071,5,0
2,Payment,1547807068.307015,77159,8,0
1,NewOrder,1547807068.307051,77127,9,0
5,StockLevel,1547807068.308043,2254,3,0
1,NewOrder,1547807068.308128,76027,2,0
1,NewOrder,1547807068.310341,73849,3,0
2,Payment,1547807068.333184,944110,5,0
5,StockLevel,1547807068.333187,2347,6,0
2,Payment,1547807068.333195,409693,4,0
2,Payment,1547807068.333412,409426,7,0
1,NewOrder,1547807068.335549,407351,6,0
1,NewOrder,1547807068.384274,709375,1,0
2,Payment,1547807068.384275,709393,2,0
2,Payment,1547807068.384276,709356,8,0
1,NewOrder,1547807068.384280,709397,9,0
1,NewOrder,1547807068.384285,709348,3,0
1,NewOrder,1547807068.384304,709328,0,0
2,Payment,1547807068.742887,534407,7,0
1,NewOrder,1547807068.742914,534380,4,0
2,Payment,1547807068.742928,568996,6,0
2,Payment,1547807069.093672,244484,3,0
2,Payment,1547807069.093672,201292,0,0
4,Delivery,1547807069.093672,201370,8,0
2,Payment,1547807069.093688,201486,2,0
2,Payment,1547807069.093691,201231,9,0
1,NewOrder,1547807069.093701,201290,1,0
1,NewOrder,1547807069.277329,34593,4,0
2,Payment,1547807069.277330,34581,5,0
2,Payment,1547807069.277330,94020,7,0
1,NewOrder,1547807069.294941,42853,9,0
1,NewOrder,1547807069.294978,42792,0,0
1,NewOrder,1547807069.295004,42766,1,0
2,Payment,1547807069.295063,42707,8,0
1,NewOrder,1547807069.295190,42611,2,0
1,NewOrder,1547807069.311938,59335,5,0
2,Payment,1547807069.311939,86308,6,0
2,Payment,1547807069.311986,59288,4,0
1,NewOrder,1547807069.337796,51671,1,0
2,Payment,1547807069.337797,86322,8,0
4,Delivery,1547807069.337797,51679,0,0
2,Payment,1547807069.337811,52290,9,0
1,NewOrder,1547807069.337816,51645,2,0
1,NewOrder,1547807069.338175,51280,3,0
1,NewOrder,1547807069.371305,26937,4,0
1,NewOrder,1547807069.371305,26942,5,0
1,NewOrder,1547807069.371376,26893,7,0
3,OrderStatus,1547807069.389483,2309,3,0
5,StockLevel,1547807069.389484,6012,2,0
2,Payment,1547807069.389484,34326,1,0
1,NewOrder,1547807069.389489,34299,0,0
5,StockLevel,1547807069.390119,6285,9,0
1,NewOrder,1547807069.391813,58058,3,0
2,Payment,1547807069.395522,28273,2,0
2,Payment,1547807069.396415,329089,9,0
2,Payment,1547807069.398255,51580,4,0
1,NewOrder,1547807069.398264,51588,6,0
2,Payment,1547807069.398264,819270,5,0
1,NewOrder,1547807069.398282,51839,7,0
1,NewOrder,1547807069.423811,301594,0,0
3,OrderStatus,1547807069.423823,2249,1,0
1,NewOrder,1547807069.423846,301579,2,0
1,NewOrder,1547807069.424156,301246,8,0
1,NewOrder,1547807069.426087,299333,1,0
1,NewOrder,1547807069.449868,767638,4,0
2,Payment,1547807069.449869,1344640,6,0
1,NewOrder,1547807069.449884,1019184,3,0
2,Payment,1547807069.450139,767433,7,0
2,Payment,1547807069.725434,743654,8,0
2,Payment,1547807069.725434,743816,0,0
1,NewOrder,1547807069.725434,743958,1,0
1,NewOrder,1547807069.725437,743989,2,0
4,Delivery,1547807069.725515,743655,9,0
2,Payment,1547807070.217533,577010,4,0
1,NewOrder,1547807070.217543,577111,5,0
1,NewOrder,1547807070.217623,576886,7,0
2,Payment,1547807070.469088,692895,3,0
2,Payment,1547807070.469097,692705,8,0
1,NewOrder,1547807070.469179,692634,9,0
2,Payment,1547807070.469260,692639,0,0
3,OrderStatus,1547807070.469403,1761,1,0
1,NewOrder,1547807070.469435,692662,2,0
1,NewOrder,1547807070.471173,690606,1,0
1,NewOrder,1547807070.794529,609616,7,0
2,Payment,1547807070.794529,609461,6,0
1,NewOrder,1547807070.794556,609588,4,0
1,NewOrder,1547807070.794667,609409,5,0
2,Payment,1547807071.161807,634508,1,0
1,NewOrder,1547807071.161812,634669,8,0
1,NewOrder,1547807071.161820,634455,9,0
1,NewOrder,1547807071.161909,634553,0,0
1,NewOrder,1547807071.161993,634484,3,0
2,Payment,1547807071.162105,634224,2,0
2,Payment,1547807071.404010,692553,6,0
1,NewOrder,1547807071.404089,692653,5,0
1,NewOrder,1547807071.404159,692474,4,0
2,Payment,1547807071.404159,935597,7,0
1,NewOrder,1547807071.796299,534581,9,0
1,NewOrder,1547807071.796327,534586,1,0
2,Payment,1547807071.796339,534089,2,0
2,Payment,1547807071.796471,534017,0,0
2,Payment,1547807071.796490,534375,8,0
2,Payment,1547807071.796498,567258,3,0
4,Delivery,1547807072.096585,243224,6,0
1,NewOrder,1547807072.096642,243145,4,0
2,Payment,1547807072.096751,243038,5,0
2,Payment,1547807072.330447,60436,2,0
1,NewOrder,1547807072.330502,33389,0,0
4,Delivery,1547807072.330877,32990,8,0
2,Payment,1547807072.330890,32793,9,0
5,StockLevel,1547807072.330932,4447,1,0
2,Payment,1547807072.335393,28448,1,0
1,NewOrder,1547807072.339766,41022,7,0
1,NewOrder,1547807072.339795,40999,4,0
1,NewOrder,1547807072.339797,40997,5,0
2,Payment,1547807072.339818,40989,6,0
