Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1547803222.560252,24397,7,0
2,Payment,1547803222.567185,44291,6,0
5,StockLevel,1547803222.567236,2312,3,0
1,NewOrder,1547803222.567418,44259,2,0
4,Delivery,1547803222.567488,44041,9,0
1,NewOrder,1547803222.567611,43882,5,0
2,Payment,1547803222.569567,41930,3,0
1,NewOrder,1547803222.584613,69716,1,0
1,NewOrder,1547803222.584649,69995,8,0
2,Payment,1547803222.584663,69784,0,0
1,NewOrder,1547803222.584673,69848,7,0
1,NewOrder,1547803222.584693,69893,4,0
1,NewOrder,1547803222.611525,70673,5,0
1,NewOrder,1547803222.611525,70572,6,0
1,NewOrder,1547803222.611530,71071,3,0
4,Delivery,1547803222.611569,70541,9,0
1,NewOrder,1547803222.611692,70414,2,0
1,NewOrder,1547803222.654362,45991,1,0
2,Payment,1547803222.654479,45916,0,0
1,NewOrder,1547803222.654539,45866,7,0
1,NewOrder,1547803222.654612,45769,4,0
4,Delivery,1547803222.654666,45747,8,0
1,NewOrder,1547803222.682142,52408,9,0
1,NewOrder,1547803222.682146,52166,6,0
2,Payment,1547803222.682146,52165,2,0
2,Payment,1547803222.682215,52120,5,0
2,Payment,1547803222.682617,51784,3,0
1,NewOrder,1547803222.700385,43260,1,0
1,NewOrder,1547803222.700406,43148,4,0
1,NewOrder,1547803222.700418,42951,0,0
1,NewOrder,1547803222.700429,42966,7,0
2,Payment,1547803222.700436,43040,8,0
1,NewOrder,1547803222.734356,27642,6,0
1,NewOrder,1547803222.734356,18123,5,0
1,NewOrder,1547803222.734356,18168,2,0
1,NewOrder,1547803222.734422,18056,3,0
1,NewOrder,1547803222.734577,27314,9,0
2,Payment,1547803222.743389,18526,0,0
2,Payment,1547803222.743425,18460,7,0
2,Payment,1547803222.743497,18388,8,0
1,NewOrder,1547803222.743581,1777357,4,0
2,Payment,1547803222.743671,18248,1,0
2,Payment,1547803222.752505,1768522,3,0
4,Delivery,1547803222.752505,1969643,5,0
2,Payment,1547803222.752552,1768627,2,0
1,NewOrder,1547803222.761907,1960154,8,0
1,NewOrder,1547803222.761907,1960585,7,0
2,Payment,1547803222.761914,1960296,9,0
2,Payment,1547803222.761933,1960148,0,0
5,StockLevel,1547803222.761941,11267,1,0
2,Payment,1547803222.762029,1960251,6,0
2,Payment,1547803222.773250,1949339,1,0
1,NewOrder,1547803224.520965,209978,4,0
2,Payment,1547803224.521054,210331,3,0
5,StockLevel,1547803224.521199,184823,2,0
2,Payment,1547803224.706044,24849,2,0
5,StockLevel,1547803224.722075,8379,8,0
2,Payment,1547803224.722095,25932,0,0
3,OrderStatus,1547803224.722197,4629,5,0
2,Payment,1547803224.722225,25794,9,0
1,NewOrder,1547803224.722293,35002,6,0
1,NewOrder,1547803224.722507,34812,7,0
2,Payment,1547803224.722604,25511,1,0
1,NewOrder,1547803224.726919,30346,5,0
3,OrderStatus,1547803224.730474,2057,8,0
2,Payment,1547803224.730911,26268,2,0
1,NewOrder,1547803224.730959,26216,4,0
2,Payment,1547803224.731413,25847,3,0
2,Payment,1547803224.732543,24696,8,0
2,Payment,1547803224.748037,26289,9,0
2,Payment,1547803224.748039,26284,0,0
2,Payment,1547803224.748128,26195,1,0
1,NewOrder,1547803224.757192,59706,4,0
1,NewOrder,1547803224.757194,59777,2,0
2,Payment,1547803224.757254,59679,8,0
2,Payment,1547803224.757277,59683,3,0
2,Payment,1547803224.757279,59614,5,0
1,NewOrder,1547803224.757321,59576,6,0
1,NewOrder,1547803224.757351,59672,7,0
1,NewOrder,1547803224.774344,101805,9,0
1,NewOrder,1547803224.774344,101805,0,0
2,Payment,1547803224.774344,101932,1,0
4,Delivery,1547803224.816919,77955,4,0
2,Payment,1547803224.816920,77925,6,0
1,NewOrder,1547803224.816921,78011,5,0
2,Payment,1547803224.816950,77769,8,0
2,Payment,1547803224.816989,77744,3,0
2,Payment,1547803224.816992,77671,2,0
1,NewOrder,1547803224.817044,77781,7,0
2,Payment,1547803224.876183,218691,9,0
2,Payment,1547803224.876184,218507,0,0
5,StockLevel,1547803224.876292,7729,1,0
4,Delivery,1547803224.884054,220468,1,0
1,NewOrder,1547803224.894681,209771,2,0
2,Payment,1547803224.894733,209670,8,0
2,Payment,1547803224.894759,209502,3,0
1,NewOrder,1547803224.894845,209581,7,0
1,NewOrder,1547803224.894882,209559,6,0
2,Payment,1547803224.894905,209498,4,0
2,Payment,1547803224.894950,209343,5,0
1,NewOrder,1547803225.094719,18288,0,0
2,Payment,1547803225.094910,18034,9,0
2,Payment,1547803225.104291,17695,3,0
5,StockLevel,1547803225.104317,9927,5,0
2,Payment,1547803225.104456,17420,7,0
1,NewOrder,1547803225.104485,1527705,6,0
2,Payment,1547803225.104487,17519,4,0
1,NewOrder,1547803225.104488,17361,2,0
3,OrderStatus,1547803225.104542,3756,1,0
1,NewOrder,1547803225.105056,1527075,8,0
1,NewOrder,1547803225.108384,1523700,1,0
2,Payment,1547803225.113000,1519084,9,0
3,OrderStatus,1547803225.113023,3162,0,0
1,NewOrder,1547803225.114271,3254,5,0
1,NewOrder,1547803225.116202,1674740,0,0
2,Payment,1547803225.117545,1514676,5,0
2,Payment,1547803225.121867,1669089,2,0
2,Payment,1547803225.121894,1668824,7,0
3,OrderStatus,1547803225.122000,2352,3,0
2,Payment,1547803225.122018,1668722,4,0
5,StockLevel,1547803225.124375,5872,3,0
2,Payment,1547803225.130269,1660683,3,0
1,NewOrder,1547803226.632189,601066,8,0
1,NewOrder,1547803226.632190,601000,9,0
2,Payment,1547803226.632190,600995,1,0
2,Payment,1547803226.632212,600870,6,0
2,Payment,1547803226.632232,601077,5,0
1,NewOrder,1547803226.790750,459642,7,0
2,Payment,1547803226.790750,459773,4,0
2,Payment,1547803226.790977,459340,0,0
2,Payment,1547803226.790995,459509,2,0
5,StockLevel,1547803226.790999,3330,3,0
1,NewOrder,1547803226.794347,456092,3,0
2,Payment,1547803227.233132,50909,6,0
1,NewOrder,1547803227.233203,50977,1,0
2,Payment,1547803227.233204,50887,9,0
2,Payment,1547803227.233268,50832,8,0
1,NewOrder,1547803227.233318,50781,5,0
2,Payment,1547803227.250330,42744,0,0
2,Payment,1547803227.250402,42764,7,0
5,StockLevel,1547803227.250445,14194,3,0
1,NewOrder,1547803227.250513,42560,2,0
1,NewOrder,1547803227.250533,42604,4,0
2,Payment,1547803227.264653,28375,3,0
2,Payment,1547803227.284053,24769,6,0
1,NewOrder,1547803227.284099,24669,9,0
1,NewOrder,1547803227.284111,34362,5,0
1,NewOrder,1547803227.284113,34326,8,0
1,NewOrder,1547803227.284189,24586,1,0
1,NewOrder,1547803227.293038,25497,3,0
1,NewOrder,1547803227.293092,25493,0,0
2,Payment,1547803227.293102,25462,2,0
1,NewOrder,1547803227.293162,25370,4,0
1,NewOrder,1547803227.293180,25301,7,0
2,Payment,1547803227.308790,18195,1,0
5,StockLevel,1547803227.308790,8316,9,0
3,OrderStatus,1547803227.308839,2489,6,0
1,NewOrder,1547803227.311337,15661,6,0
1,NewOrder,1547803227.317126,19232,9,0
2,Payment,1547803227.318456,17987,8,0
2,Payment,1547803227.318486,17909,5,0
2,Payment,1547803227.318492,17944,7,0
2,Payment,1547803227.318546,17878,3,0
3,OrderStatus,1547803227.318547,1930,4,0
1,NewOrder,1547803227.318580,17778,2,0
1,NewOrder,1547803227.318598,17827,0,0
2,Payment,1547803227.320487,15935,4,0
2,Payment,1547803227.327001,17804,1,0
2,Payment,1547803227.327009,17796,6,0
1,NewOrder,1547803227.336377,40404,9,0
4,Delivery,1547803227.336377,308479,2,0
1,NewOrder,1547803227.336409,19149,5,0
2,Payment,1547803227.336432,19216,4,0
1,NewOrder,1547803227.336443,40424,0,0
1,NewOrder,1547803227.336444,19234,3,0
4,Delivery,1547803227.336449,308498,7,0
1,NewOrder,1547803227.336459,40332,8,0
1,NewOrder,1547803227.344830,31963,1,0
2,Payment,1547803227.344830,31911,6,0
1,NewOrder,1547803227.355583,289267,5,0
2,Payment,1547803227.355666,289638,4,0
2,Payment,1547803227.355687,289163,3,0
1,NewOrder,1547803227.376763,969240,6,0
1,NewOrder,1547803227.376794,969083,9,0
3,OrderStatus,1547803227.376814,2466,1,0
2,Payment,1547803227.376824,969179,8,0
1,NewOrder,1547803227.376880,969289,0,0
5,StockLevel,1547803227.379291,7599,1,0
1,NewOrder,1547803227.386913,959051,1,0
1,NewOrder,1547803227.644882,2584755,5,0
1,NewOrder,1547803227.644882,2584706,3,0
1,NewOrder,1547803227.644882,2584706,2,0
1,NewOrder,1547803227.644954,2584692,7,0
1,NewOrder,1547803227.645316,2584483,4,0
1,NewOrder,1547803228.345905,2567603,9,0
1,NewOrder,1547803228.345974,2567601,1,0
2,Payment,1547803228.346024,2567700,8,0
2,Payment,1547803228.346026,2567314,6,0
2,Payment,1547803228.346181,2567285,0,0
1,NewOrder,1547803230.229616,727389,3,0
2,Payment,1547803230.229616,727389,2,0
4,Delivery,1547803230.229649,727507,5,0
1,NewOrder,1547803230.229658,727360,7,0
1,NewOrder,1547803230.229811,727194,4,0
2,Payment,1547803230.913362,111522,6,0
1,NewOrder,1547803230.913490,111582,0,0
3,OrderStatus,1547803230.913521,16511,9,0
3,OrderStatus,1547803230.913588,16138,1,0
2,Payment,1547803230.913736,111265,8,0
1,NewOrder,1547803230.929741,95029,1,0
1,NewOrder,1547803230.930039,94859,9,0
2,Payment,1547803230.957023,102163,2,0
1,NewOrder,1547803230.957024,102300,3,0
5,StockLevel,1547803230.957024,2481,4,0
1,NewOrder,1547803230.957027,102235,7,0
1,NewOrder,1547803230.957166,102055,5,0
5,StockLevel,1547803230.959518,5044,4,0
1,NewOrder,1547803230.964583,94556,4,0
1,NewOrder,1547803231.024793,59856,1,0
2,Payment,1547803231.024913,59815,6,0
5,StockLevel,1547803231.024921,7330,9,0
1,NewOrder,1547803231.025014,59626,8,0
2,Payment,1547803231.025084,59556,0,0
2,Payment,1547803231.032272,52375,9,0
1,NewOrder,1547803231.059154,103624,4,0
4,Delivery,1547803231.059196,103510,2,0
2,Payment,1547803231.059238,103410,5,0
4,Delivery,1547803231.059274,103276,7,0
1,NewOrder,1547803231.059343,103359,3,0
1,NewOrder,1547803231.084664,761686,0,0
1,NewOrder,1547803231.084664,761867,1,0
2,Payment,1547803231.084664,761672,9,0
1,NewOrder,1547803231.084669,761676,8,0
1,NewOrder,1547803231.084739,761869,6,0
1,NewOrder,1547803231.162563,1509534,7,0
1,NewOrder,1547803231.162669,1509472,5,0
1,NewOrder,1547803231.162715,1509315,3,0
3,OrderStatus,1547803231.162718,3768,2,0
1,NewOrder,1547803231.162791,1509678,4,0
2,Payment,1547803231.166503,1505527,2,0
1,NewOrder,1547803231.846373,1035266,9,0
1,NewOrder,1547803231.846374,1035372,8,0
1,NewOrder,1547803231.846374,1035330,0,0
1,NewOrder,1547803231.846544,1034877,1,0
1,NewOrder,1547803231.846622,1035079,6,0
2,Payment,1547803232.672061,227585,3,0
3,OrderStatus,1547803232.672061,2096,2,0
2,Payment,1547803232.672110,227560,7,0
1,NewOrder,1547803232.672150,227539,5,0
4,Delivery,1547803232.672486,227486,4,0
1,NewOrder,1547803232.674167,225618,2,0
1,NewOrder,1547803232.881447,52268,1,0
2,Payment,1547803232.881655,51952,9,0
2,Payment,1547803232.881719,51925,0,0
2,Payment,1547803232.881725,51916,6,0
2,Payment,1547803232.881760,51974,8,0
1,NewOrder,1547803232.899662,67885,3,0
2,Payment,1547803232.899681,67908,7,0
2,Payment,1547803232.899699,67848,5,0
2,Payment,1547803232.899795,67884,2,0
2,Payment,1547803232.899983,67615,4,0
2,Payment,1547803232.933624,75868,9,0
1,NewOrder,1547803232.933661,75883,6,0
1,NewOrder,1547803232.933666,75859,0,0
1,NewOrder,1547803232.933731,75753,1,0
2,Payment,1547803232.933747,75821,8,0
2,Payment,1547803232.967573,93585,5,0
2,Payment,1547803232.967573,93611,3,0
1,NewOrder,1547803232.967601,93697,7,0
1,NewOrder,1547803232.967612,93716,4,0
4,Delivery,1547803232.967691,93688,2,0
1,NewOrder,1547803233.009507,144096,9,0
1,NewOrder,1547803233.009507,144096,1,0
2,Payment,1547803233.009534,144103,0,0
