waiting for 1 second sample...
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0  3146   3697 232M 358M  32G  26G   1G   4G    296     12  41796    119 
   0   0  3349   3969 232M 358M  32G  26G   1G   4G    168     10  46336    131 
   0   0  3195   3686 232M 358M  32G  26G   1G   4G    472     43  45184    128 
   0   0  3166   3699 233M 358M  32G  26G   1G   4G    176     12  44432    168 
   0   0  2875   3537 232M 358M  32G  26G   1G   4G    300     11  47860    135 
   0   0  2942   3648 232M 358M  32G  26G   1G   4G    220     20  43328    123 
   0   0  3197   4071 231M 358M  32G  26G   1G   4G    316     12  42692    122 
   0   0  2935   3468 232M 358M  32G  26G   1G   4G    288      9  43904    125 
   0   0  3198   3858 232M 358M  32G  26G   1G   4G    624     54  42000    128 
   0   0  3001   3508 231M 358M  32G  26G   1G   4G     24      6  46380    131 
   0   0  3127   3622 231M 358M  32G  26G   1G   4G    340     14  43524    125 
   0   0  3241   4055 231M 358M  32G  26G   1G   4G    200     18  46752    133 
   0   0  3127   3772 230M 358M  32G  26G   1G   4G    308     44  45536    130 
   0   0  3374   4115 226M 358M  32G  26G   1G   4G    332     14  46144    132 
   0   0  3081   3734 225M 358M  32G  26G   1G   4G    556     12  43008    125 
   0   0  2932   3611 225M 358M  32G  26G   1G   4G    304      7  48800    141 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0  3159   4000 226M 358M  32G  26G   1G   4G    304     12  42080    121 
   4   2 11866  26927 210M 358M  32G  26G   1G   4G    400     84  45664    132 
   1   0  3982   5208 215M 358M  32G  26G   1G   4G    676     52  42316    131 
   0   0  2985   3658 215M 358M  32G  26G   1G   4G    328     14  33228    195 
   8   2  5900   8656 215M 358M  32G  26G   1G   4G 145236   1150   1336    120 
   8   2  6162   9017 227M 358M  32G  26G   1G   4G 142476   1132    732     93 
   8   2  5985   8708 212M 358M  32G  26G   1G   4G 144888   1172    756     89 
   8   2  5722   8560 214M 358M  32G  26G   1G   4G 127016    999   2192     75 
   6   1  5375   7747 205M 358M  32G  26G   1G   4G 118056    934   1192     73 
  10   3  6159   8972 234M 358M  32G  26G   1G   4G 151140   1194    712     85 
